period,total_events,domain,count,share_percent
2018-2021,488,Malicious actors & misuse,56,11.4800
2018-2021,488,"AI system safety, failures & limitations",158,32.3800
2018-2021,488,Discrimination & toxicity,121,24.8000
2018-2021,488,Misinformation,22,4.5100
2018-2021,488,Privacy & security,91,18.6500
2018-2021,488,Socioeconomic & environmental harms,8,1.6400
2018-2021,488,Human-computer interaction,32,6.5600
2022-2024,1159,Malicious actors & misuse,347,29.9400
2022-2024,1159,"AI system safety, failures & limitations",170,14.6700
2022-2024,1159,Discrimination & toxicity,182,15.7000
2022-2024,1159,Misinformation,198,17.0800
2022-2024,1159,Privacy & security,125,10.7900
2022-2024,1159,Socioeconomic & environmental harms,97,8.3700
2022-2024,1159,Human-computer interaction,40,3.4500
