year,total_events,Malicious actors & misuse,AI system safety; failures & limitations,Discrimination & toxicity,Misinformation,Privacy & security,Socioeconomic & environmental harms,Human-computer interaction
1998,1,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
2004,1,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2008,1,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2009,3,0.0000,33.3300,33.3300,0.0000,33.3300,0.0000,0.0000
2010,2,50.0000,0.0000,0.0000,50.0000,0.0000,0.0000,0.0000
2011,3,0.0000,0.0000,0.0000,66.6700,33.3300,0.0000,0.0000
2012,4,0.0000,25.0000,75.0000,0.0000,0.0000,0.0000,0.0000
2013,2,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000
2014,7,14.2900,57.1400,0.0000,14.2900,0.0000,0.0000,14.2900
2015,13,0.0000,53.8500,38.4600,0.0000,7.6900,0.0000,0.0000
2016,41,2.4400,48.7800,29.2700,2.4400,12.2000,2.4400,2.4400
2017,71,0.0000,46.4800,26.7600,5.6300,15.4900,2.8200,2.8200
2018,77,5.1900,53.2500,14.2900,3.9000,11.6900,1.3000,10.3900
2019,83,9.6400,25.3000,15.6600,3.6100,34.9400,1.2000,9.6400
2020,168,14.2900,26.7900,35.1200,4.1700,16.0700,1.1900,2.3800
2021,160,12.5000,31.8700,23.7500,5.6300,16.2500,2.5000,7.5000
2022,169,19.5300,24.2600,24.8500,4.1400,15.9800,5.9200,5.3300
2023,476,26.8900,15.7600,15.9700,18.2800,10.0800,9.4500,3.5700
2024,514,36.1900,10.5100,12.4500,20.2300,9.7300,8.1700,2.7200
2025,169,46.7500,10.6500,8.2800,16.5700,8.2800,5.3300,4.1400
