from_stage,from_bucket,to_stage,to_bucket,count
RiskSource,autonomous_system,Risk,ai_safety_failure,177
RiskSource,deepfake_ncii,Risk,malicious_misuse,176
RiskSource,bias_discrimination,Risk,discrimination_toxicity,143
RiskSource,hallucination,Risk,misinformation,120
RiskSource,fraud_abuse,Risk,malicious_misuse,107
RiskSource,other,Risk,ai_safety_failure,106
RiskSource,facial_recognition,Risk,privacy_security,105
RiskSource,content_moderation,Risk,discrimination_toxicity,85
RiskSource,voice_clone,Risk,malicious_misuse,73
RiskSource,training_data,Risk,socioeconomic_environmental,66
RiskSource,training_data,Risk,privacy_security,64
RiskSource,facial_recognition,Risk,discrimination_toxicity,56
RiskSource,other,Risk,privacy_security,56
RiskSource,other,Risk,malicious_misuse,46
RiskSource,content_moderation,Risk,misinformation,45
RiskSource,other,Risk,misinformation,39
RiskSource,bias_discrimination,Risk,ai_safety_failure,38
RiskSource,other,Risk,discrimination_toxicity,36
RiskSource,autonomous_system,Risk,hci,35
RiskSource,other,Risk,socioeconomic_environmental,33
RiskSource,facial_recognition,Risk,malicious_misuse,33
RiskSource,facial_recognition,Risk,ai_safety_failure,32
RiskSource,content_moderation,Risk,malicious_misuse,30
RiskSource,hallucination,Risk,ai_safety_failure,25
RiskSource,deepfake_ncii,Risk,misinformation,24
RiskSource,content_moderation,Risk,ai_safety_failure,20
RiskSource,deepfake_ncii,Risk,discrimination_toxicity,18
RiskSource,training_data,Risk,discrimination_toxicity,18
RiskSource,training_data,Risk,malicious_misuse,17
RiskSource,other,Risk,hci,15
RiskSource,fraud_abuse,Risk,misinformation,13
RiskSource,training_data,Risk,ai_safety_failure,12
RiskSource,bias_discrimination,Risk,misinformation,9
RiskSource,hallucination,Risk,discrimination_toxicity,9
RiskSource,bias_discrimination,Risk,hci,8
RiskSource,content_moderation,Risk,hci,8
RiskSource,training_data,Risk,misinformation,8
RiskSource,fraud_abuse,Risk,hci,7
RiskSource,fraud_abuse,Risk,ai_safety_failure,7
RiskSource,fraud_abuse,Risk,privacy_security,7
RiskSource,autonomous_system,Risk,privacy_security,7
RiskSource,fraud_abuse,Risk,socioeconomic_environmental,7
RiskSource,voice_clone,Risk,privacy_security,6
RiskSource,hallucination,Risk,hci,6
RiskSource,autonomous_system,Risk,malicious_misuse,6
RiskSource,fraud_abuse,Risk,discrimination_toxicity,6
RiskSource,bias_discrimination,Risk,socioeconomic_environmental,6
RiskSource,deepfake_ncii,Risk,privacy_security,5
RiskSource,content_moderation,Risk,privacy_security,5
RiskSource,voice_clone,Risk,socioeconomic_environmental,4
RiskSource,voice_clone,Risk,ai_safety_failure,3
RiskSource,autonomous_system,Risk,socioeconomic_environmental,3
RiskSource,bias_discrimination,Risk,privacy_security,3
RiskSource,voice_clone,Risk,misinformation,3
RiskSource,content_moderation,Risk,socioeconomic_environmental,3
RiskSource,hallucination,Risk,malicious_misuse,2
RiskSource,facial_recognition,Risk,hci,2
RiskSource,facial_recognition,Risk,socioeconomic_environmental,1
RiskSource,voice_clone,Risk,discrimination_toxicity,1
RiskSource,hallucination,Risk,socioeconomic_environmental,1
RiskSource,voice_clone,Risk,hci,1
RiskSource,training_data,Risk,hci,1
RiskSource,bias_discrimination,Risk,malicious_misuse,1
Risk,ai_safety_failure,Consequence,physical_harm,181
Risk,privacy_security,Consequence,privacy_violation,167
